State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,Households_with_Computer,Graduate_Education,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Television,Having_latrine_facility_within_the_premises_Total_Households,Having_bathing_facility_Total_Households,Households_with_Television,sex_ratio,literacy_rate
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,6287,215527,22706,61620,117760,24468,150315,215371,216307,150315,90.0,60.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,1615,96082,5117,15506,1657,5074,62233,52553,46292,62233,99.0,62.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,2521,104120,7525,35620,7094,6665,86324,93858,86909,86324,110.0,79.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,1196,55929,11037,59612,99240,3791,48564,68771,120259,48564,86.0,59.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,2521,104120,7525,35620,7094,6665,86324,93858,86909,86324,110.0,79.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,1196,55929,11037,59612,99240,3791,48564,68771,120259,48564,86.0,59.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,8053,330081,22753,91236,38456,22727,272579,220258,229975,272579,101.0,76.0
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,354,17865,2563,5118,190,2775,12925,13521,13902,12925,82.0,72.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,2623,91322,7010,23168,2450,8479,66910,55831,66129,66910,94.0,70.0
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,5333,214491,16401,54139,10927,15958,157314,181985,175038,157314,101.0,72.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,9177,172754,24127,80414,2813,23107,131450,123535,153356,131450,92.0,75.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,2220,91509,8593,23352,16691,7459,58902,60246,74088,58902,92.0,68.0
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,5250,119866,14478,36803,12426,15117,94692,90587,105861,94692,88.0,74.0
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,2412,105929,8238,32120,41378,8059,88894,66103,87268,88894,98.0,77.0
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,596,61831,3077,12647,563,1804,19244,23060,26716,19244,92.0,53.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,19905,294739,46657,146501,68272,44063,240478,162522,231365,240478,88.0,74.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,235,15824,1005,3077,488,1847,8008,17649,11887,8008,81.0,61.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,1443,109422,6112,24330,17726,4687,66944,26033,47372,66944,89.0,63.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,1537,73629,5293,31286,5479,6164,45967,53836,61749,45967,91.0,52.0
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,346,62900,3342,13962,846,1731,16022,16586,19789,16022,89.0,55.0
